date,section,file,change_type,description,expected_impact,commit
2026-05-05,Featured-Cards-Carousel,sections/Featured-Cards-Carousel.liquid,add,"Ported Featured Cards Carousel section from Deodap source theme — Swiper-based image carousel with per-slide desktop/mobile image swap and link. Schema: image, mobile_image, link per card; custom_class, order_no at section level. Self-contained: no snippet, color-scheme, or theme-setting dependencies.",Makes the section available in the Shopify theme editor with identical behavior to Deodap,1aa9544
2026-05-05,Featured-Cards-Carousel,assets/featured-cards-carousel.css,add,"Carousel-specific stylesheet copied verbatim from Deodap. Loaded by the section via media=print + onload swap pattern (non-render-blocking).",Provides layout/styling for the carousel slides and Swiper navigation,1aa9544
2026-05-05,Featured-Cards-Carousel,assets/featured-cards-carousel.js,add,"Swiper initialization script copied verbatim from Deodap. Deferred load.",Initializes the Swiper instance and wires prev/next/pagination,1aa9544
2026-05-05,Featured-Cards-Carousel,assets/swiper-bundle.min.css,add,"Swiper library stylesheet (vendor) copied verbatim from Deodap.",Provides Swiper's built-in slide and navigation styles,1aa9544
2026-05-05,Featured-Cards-Carousel,assets/swiper-bundle.min.js,add,"Swiper library script (vendor) copied verbatim from Deodap.",Provides the Swiper carousel runtime,1aa9544
2026-05-05,category-grid,sections/category-grid.liquid,add,"New custom section — responsive collection-grid (Top Categories style). Built from scratch instead of porting Deodap's collection-list-mobile because that section depends on theme-specific CSS partials, the slider-component web component, and Dawn theme settings (card_style, spacing_grid_horizontal). Self-contained: inline CSS in {% style %} block, no JS, no external assets, no t: locale keys, no theme.settings references. Uses <picture>+<source media> so browser fetches only the matching desktop or mobile image. Per-block: image, mobile_image, title, collection, link override, hide_on_mobile, hide_on_desktop. Per-section: title, columns_desktop (1–6), columns_mobile (2–6), eager_first_row toggle, padding.",LCP-optimized category grid available across both themes; eager_first_row option provides above-the-fold LCP boost,fd17e20
2026-05-05,category-grid,sections/category-grid.liquid,enhance,"Added enable_mobile_slider checkbox setting. When on, the mobile <ul> switches to display:flex with overflow-x:auto and scroll-snap-type:x mandatory; each item gets flex-basis based on columns_mobile so multiple items peek into the viewport for swipe affordance. Pure-CSS — no JS added. Desktop layout (CSS Grid) and all other behavior unchanged. Hidden scrollbar (scrollbar-width:none + ::-webkit-scrollbar display:none) for cleaner mobile UI.",Lets the same section be reused as either a static grid or a swipeable slider on mobile per instance,cb3c119
2026-05-05,utility-bar,sections/utility-bar.liquid,add,"Phase 1 of header port — top utility bar (phone/email/store hours on the left, app badges on the right). Built as a self-contained section with enabled_on:[header] so it can be added via the theme editor's header section group without modifying header.liquid. Inline SVGs for phone/envelope icons (no asset deps). Auto-generates tel: and mailto: links from the phone/email text when no override is set. App badges use loading=eager + fetchpriority=low so they appear above-the-fold without competing for LCP. Default hidden on mobile (show_on_mobile toggle). Settings: phone, email, hours, app badges, colors, padding, mobile visibility.",Replicates Deodap's header-top-bar visually without touching header.liquid; non-invasive and reversible,b2c5cb8
2026-05-05,utility-bar,sections/utility-bar.liquid,enhance,"Replaced hardcoded max-width:1400px with theme's .page-width class on the inner container. Removed horizontal padding from .utility-bar (the colored band) and from the mobile override; .page-width handles its own horizontal padding via --page-width and 1.5rem gutters. The bar now respects the page width configured in theme settings.",Bar inner content aligns with the rest of the storefront's content width,1156ea7
2026-05-05,custom-header,sections/custom-header.liquid,add,"Phase 2 of header port — main header bar (logo + search + account + optional wishlist + cart). Self-contained section with enabled_on:[header]; doesn't modify header.liquid. Inline SVG icons (search, account, heart, cart, chevron) — no asset deps. Search posts a standard GET to /search with configurable type filter (products only by default). Account link auto-handles logged-in vs guest using customer + routes.account_login_url. Cart bubble reads cart.item_count on page render and links to routes.cart_url. Wishlist is optional with custom URL — no app integration assumed. Logo uses srcset (160/240/320/480w) and loading=eager + fetchpriority=high (likely the LCP element). Uses theme .page-width class for inner alignment. Skipped: predictive search dropdown (theme-specific), cart drawer trigger (theme-specific), mobile hamburger (Phase 3). Mobile responsive — labels hide below 990px; search wraps to its own row below 750px.",Replicates Deodap's main header visually as an additive section so the existing header stays functional during transition,f6fdef9
2026-05-05,custom-header,sections/custom-header.liquid,enhance,"Wired up cart drawer trigger via new cart_action select setting (default 'drawer'). When set to 'drawer', the cart link gets both id='cart-icon-bubble' (which Dawn's cart-drawer.js queries) and aria-controls='CartDrawer' (which Hyper's DrawerComponent base class reads to find triggers). Both attributes coexist harmlessly on either theme. Cart-drawer is rendered globally in both themes (Dawn via theme.liquid, Hyper via overlay-group), so the trigger works even with the old header section disabled. The link still points to /cart as a JS-disabled fallback. Also added defensive scoped CSS for cross-theme compatibility: explicit box-sizing:border-box on .ds-header and all descendants; reset font/margin/padding/appearance on .ds-header__search-input and .ds-header__search-btn; hide WebKit search input decorations; force opacity:1 on placeholder. These prevent Hyper's lighter CSS reset from leaving browser-default styling on form controls.",Cart icon now opens the existing theme cart drawer in both themes; search/button styling consistent across Dawn and Hyper,17113c1
2026-05-05,custom-nav,sections/custom-nav.liquid,add,"Phase 3 of header port — top navigation row with Deodap-style 3-pane interactive mega menu and mobile drawer. Self-contained section with enabled_on:[header]. Uses Shopify menu (linklists.<handle>) — supports up to 3 levels of nesting. Top-level items with children render a button + chevron + mega panel; left sidebar shows L2 items, right pane shows currently-active L2's L3 grandchildren (CSS Grid 3-column). Highlighted items via comma-separated section setting (matches against title, case-insensitive). Mobile: hamburger button (in nav bar) + off-canvas drawer using native <details>/<summary> for accordion (no JS for accordion expand). Sticky-on-scroll toggle. All inline CSS in {% style %} block — no asset CSS file. Loads custom-nav.js (~165 lines, deferred) for: hover-open mega menu with delays, click toggle, L2-pane switching, outside-click + Escape-key close, mobile drawer open/close + body-scroll lock. Custom element <custom-nav> registers idempotently (safe under section reload). Uses theme .page-width on inner containers.",Replicates Deodap's nav and mega menu functionally and visually; works in both themes,664af0f
2026-05-05,custom-nav,assets/custom-nav.js,add,"Companion JS for custom-nav.liquid. Defines <custom-nav> custom element. Handles desktop mega menu hover (80ms open delay / 160ms close delay) + click toggle + L2 pane switching; global Escape-key dismiss + outside-click dismiss; mobile drawer open/close with body overflow lock. Idempotent registration check at top — safe to run multiple times during section reload. ~165 lines, no dependencies.",Drives the mega-menu and mobile-drawer interactions for custom-nav,664af0f
2026-05-05,custom-header,sections/custom-header.liquid,enhance,"Major rework of mobile layout + SEO additions. Added Organization and WebSite JSON-LD scripts (toggleable via enable_seo_schema setting). Moved hamburger button + mobile off-canvas drawer here from custom-nav so the hamburger sits beside the logo on mobile (matches Deodap's mobile layout). New settings: show_hamburger checkbox, mobile_menu link_list picker (separate from desktop nav menu — supports up to 3 levels), show_mobile_app_badges checkbox, mobile_gp_image / mobile_gp_link / mobile_as_image / mobile_as_link / mobile_app_links_new_tab / mobile_app_badge_height for the badges row. Mobile layout (max-width:749px): hamburger (order 0) + logo centered (order 1) + account/wishlist/cart icons (order 2) on the top row; full-width search (order 3); app badges row (order 4) below search. Drawer uses native <details> for nested accordion. Inline <script> for drawer open/close (idempotent via dataset.drawerBound flag). Defensive Hyper CSS: explicit min-height:40px on .ds-header__search; min-width:56px and align-self:stretch on .ds-header__search-btn for consistent button height.",Mobile header now matches Deodap's design — hamburger beside logo, app badges below search; SEO schema added for both themes,f261bc9
2026-05-05,header-group,sections/header-group.json,remove,"Removed the disabled stock 'header' section from header-group.json. The custom-header / custom-nav / utility-bar trio fully replaces it.",Cleaner section group; no orphaned disabled section,f261bc9
2026-05-05,custom-nav,sections/custom-nav.liquid,fix,"Hide the entire custom-nav section root on mobile (max-width:989px) when show_hamburger is off — eliminates the empty dark strip that appeared below custom-header's app badges. Also changed schema default for show_hamburger from true to false (since custom-header is now the canonical mobile hamburger location); added schema info text recommending users leave it off when custom-header has its own hamburger.",Removes the duplicate hamburger / empty dark strip on mobile,240c9e3
2026-05-05,header-group,sections/header-group.json,update,"Set show_hamburger: false on the existing custom_nav section instance to immediately resolve the duplicate hamburger on the live site (the schema default change only affects future installs).",Live mobile view no longer shows the secondary nav strip / hamburger,240c9e3
